age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,exam_score,exam_score_quantile,cluster,cluster_kmeans
21,Female,3.7,0.6,1.3,No,75.6,7.5,Fair,2,Master,Average,70.6,Medium-High,2,2
17,Other,1.5,3.1,2.6,Yes,96.2,8.0,Fair,4,Bachelor,Average,51.3,Low,0,0
20,Other,2.6,4.9,4.3,No,82.1,6.9,Good,3,Bachelor,Good,52.1,Low,3,3
18,Female,4.0,0.9,1.1,No,99.5,5.8,Poor,2,,Average,70.7,Medium-High,2,2
22,Female,1.1,2.7,0.1,No,100.0,7.7,Fair,1,High School,Good,51.2,Low,3,3
21,Female,4.2,1.7,0.0,Yes,84.2,6.5,Good,1,Bachelor,Average,72.6,Medium-High,0,0
20,Female,3.5,3.0,2.6,No,74.9,7.3,Fair,3,High School,Good,70.7,Medium-High,3,3
17,Male,4.3,2.5,0.0,Yes,64.1,3.9,Good,0,High School,Average,59.4,Medium-Low,0,0
17,Male,3.8,1.7,1.4,No,70.3,7.0,Poor,0,Bachelor,Good,58.1,Low,3,3
19,Male,5.5,3.1,2.3,No,71.3,5.7,Good,1,High School,Average,82.3,High,2,2
19,Female,3.7,4.7,2.0,No,98.8,8.5,Good,6,Bachelor,Good,69.7,Medium-Low,3,3
23,Female,2.9,2.3,2.3,No,86.2,7.2,Good,6,Bachelor,Average,66.0,Medium-Low,3,3
18,Male,3.7,3.4,2.0,No,88.9,6.8,Fair,3,High School,Poor,63.5,Medium-Low,1,1
24,Female,4.3,0.9,3.2,No,62.8,7.1,Poor,0,Bachelor,Good,65.7,Medium-Low,3,3
20,Female,3.6,1.4,0.8,No,73.0,5.3,Good,4,High School,Poor,78.5,Medium-High,3,3
20,Male,3.6,3.1,1.1,No,93.9,8.4,Fair,1,Bachelor,Average,75.1,Medium-High,1,1
24,Male,2.4,4.3,1.0,No,87.9,8.9,Poor,5,High School,Average,71.0,Medium-High,1,1
23,Female,2.5,2.9,2.7,No,83.5,7.0,Good,4,,Good,59.7,Medium-Low,1,1
22,Female,1.4,2.1,2.8,No,90.6,8.4,Fair,3,Bachelor,Good,52.6,Low,3,3
22,Female,6.1,2.5,2.3,No,100.0,5.8,Poor,5,High School,Average,96.5,High,2,2
23,Female,1.6,1.0,3.1,No,82.8,5.5,Fair,4,Master,Good,62.0,Medium-Low,1,1
22,Female,2.5,3.2,0.5,No,85.7,6.5,Poor,0,High School,Average,59.7,Medium-Low,3,3
19,Female,2.4,3.6,3.6,No,86.9,7.0,Fair,6,High School,Average,48.4,Low,3,3
20,Female,4.8,2.0,3.5,No,100.0,6.0,Good,0,Bachelor,Good,70.6,Medium-High,1,1
23,Female,3.1,1.9,2.6,Yes,64.0,7.1,Fair,5,High School,Good,68.1,Medium-Low,0,0
20,Male,5.4,2.8,3.8,No,91.8,6.9,Good,2,High School,Good,87.2,High,2,2
24,Male,2.5,2.0,0.0,No,83.9,5.3,Good,6,Bachelor,Average,66.7,Medium-Low,3,3
17,Male,3.9,2.4,1.2,No,90.7,7.1,Good,1,Bachelor,Average,75.2,Medium-High,1,1
19,Female,2.2,5.0,1.0,No,78.4,7.5,Poor,5,Master,Average,46.4,Low,1,1
21,Female,6.7,2.2,2.6,No,84.5,6.7,Good,3,Master,Average,97.1,High,2,2
19,Female,1.7,2.1,0.6,Yes,92.1,7.9,Fair,1,High School,Average,61.2,Medium-Low,0,0
23,Male,4.0,1.7,2.6,No,100.0,5.0,Fair,4,Bachelor,Good,75.0,Medium-High,2,2
21,Male,4.5,3.4,3.3,Yes,93.1,7.1,Good,6,High School,Good,94.7,High,0,0
17,Male,4.1,2.3,2.6,Yes,76.5,5.1,Fair,3,Bachelor,Average,77.6,Medium-High,0,0
23,Male,3.2,1.7,2.1,No,80.8,5.2,Good,3,High School,Poor,68.6,Medium-Low,1,1
18,Female,3.3,4.1,0.7,No,80.5,5.7,Poor,0,Master,Good,69.6,Medium-Low,3,3
20,Male,3.6,4.2,0.9,No,67.0,5.4,Good,4,Bachelor,Average,66.5,Medium-Low,3,3
17,Male,3.3,1.8,3.2,No,81.7,5.8,Poor,0,Master,Good,62.2,Medium-Low,3,3
20,Female,4.9,0.3,2.7,Yes,92.3,6.2,Good,0,Bachelor,Poor,82.1,High,0,0
22,Male,6.8,3.7,1.8,No,72.3,7.5,Poor,6,Master,Average,100.0,High,2,2
18,Female,2.7,1.7,1.3,No,95.5,6.1,Poor,2,Bachelor,Good,59.7,Medium-Low,1,1
18,Female,1.4,3.4,0.0,No,89.9,4.6,Fair,0,High School,Poor,55.1,Low,1,1
17,Male,3.4,0.1,0.6,No,77.7,7.9,Fair,1,High School,Average,77.1,Medium-High,1,1
18,Female,7.4,3.6,3.9,No,83.6,5.5,Fair,3,High School,Average,97.7,High,2,2
21,Female,2.3,1.0,0.4,No,100.0,6.4,Fair,6,,Good,66.9,Medium-Low,3,3
18,Female,6.0,3.4,2.0,Yes,92.3,7.0,Fair,0,Bachelor,Good,99.9,High,0,0
20,Male,6.0,2.5,2.9,No,85.1,6.7,Poor,5,Bachelor,Average,100.0,High,2,2
20,Female,2.7,1.4,0.4,No,82.6,7.8,Fair,1,Bachelor,Poor,57.2,Low,3,3
23,Female,4.4,2.0,2.0,Yes,85.8,7.1,Good,4,Master,Good,77.3,Medium-High,0,0
20,Male,5.9,3.3,2.8,Yes,79.9,5.5,Good,3,Master,Average,91.6,High,0,0
23,Male,2.9,2.6,1.8,No,64.0,9.1,Good,6,High School,Good,70.7,Medium-High,3,3
20,Other,3.2,3.2,5.0,No,100.0,6.7,Good,5,High School,Poor,57.6,Low,3,3
21,Female,2.6,4.9,0.0,Yes,86.6,6.3,Fair,6,High School,Poor,60.2,Medium-Low,0,0
24,Male,2.0,0.6,3.0,No,89.0,7.7,Poor,6,High School,Good,50.5,Low,1,1
23,Female,2.5,4.4,1.6,No,84.4,6.8,Fair,5,Bachelor,Average,51.3,Low,3,3
19,Male,1.7,2.6,2.6,No,77.6,7.0,Good,4,Bachelor,Good,53.5,Low,3,3
22,Male,3.6,1.4,2.3,No,83.1,9.5,Good,5,Bachelor,Poor,79.2,Medium-High,2,2
17,Male,2.3,0.9,1.0,No,69.0,6.2,Fair,1,Master,Average,47.2,Low,1,1
20,Male,3.9,2.3,2.1,No,100.0,6.1,Poor,6,Bachelor,Good,73.4,Medium-High,2,2
18,Male,1.2,3.6,0.0,No,72.7,6.6,Poor,4,High School,Average,41.1,Low,1,1
24,Male,4.0,2.3,2.5,No,74.7,7.8,Fair,6,Bachelor,Good,77.8,Medium-High,2,2
20,Female,4.8,4.3,2.1,No,80.6,4.7,Fair,5,High School,Average,63.4,Medium-Low,3,3
18,Male,0.5,0.8,2.5,Yes,97.9,4.1,Poor,4,High School,Good,43.9,Low,0,0
22,Male,4.1,2.5,3.0,No,85.1,5.8,Good,4,,Good,70.2,Medium-Low,3,3
22,Female,5.3,1.0,2.2,No,72.6,4.5,Fair,0,High School,Average,81.3,Medium-High,2,2
22,Male,1.7,2.9,2.0,No,97.5,6.0,Good,0,High School,Good,50.2,Low,3,3
18,Female,6.0,3.6,0.8,No,92.3,7.1,Good,0,High School,Good,87.9,High,2,2
20,Male,4.1,2.0,1.0,No,90.4,5.4,Good,5,Bachelor,Average,80.9,Medium-High,2,2
22,Male,2.4,0.0,3.1,No,92.2,4.8,Good,3,Bachelor,Good,63.9,Medium-Low,1,1
21,Male,3.4,2.7,3.4,No,100.0,6.6,Good,1,High School,Good,65.6,Medium-Low,3,3
23,Male,4.3,3.0,1.5,No,100.0,7.5,Good,5,,Average,93.2,High,2,2
18,Male,3.6,3.0,1.9,No,78.1,4.5,Good,6,Bachelor,Average,74.0,Medium-High,3,3
18,Male,4.3,4.0,0.8,No,100.0,7.5,Fair,0,,Average,60.8,Medium-Low,3,3
20,Male,2.1,1.2,3.1,No,88.8,7.5,Good,4,Master,Average,50.4,Low,3,3
18,Male,3.8,3.3,2.5,No,90.0,7.6,Good,5,Bachelor,Good,74.3,Medium-High,3,3
18,Male,1.4,3.9,3.9,Yes,68.1,8.0,Good,4,High School,Average,32.8,Low,0,0
22,Male,3.3,0.4,0.8,No,83.3,9.1,Good,6,High School,Good,82.3,High,1,1
20,Male,2.1,2.9,1.4,No,76.9,6.1,Fair,4,,Average,60.4,Medium-Low,3,3
22,Female,2.4,1.9,2.1,No,93.3,6.6,Poor,4,High School,Average,60.0,Medium-Low,1,1
23,Female,5.4,2.4,2.5,No,95.7,6.0,Fair,2,High School,Good,77.5,Medium-High,2,2
24,Male,5.1,2.9,1.6,No,64.3,6.5,Fair,3,Bachelor,Average,86.5,High,1,1
23,Female,4.4,1.9,0.8,No,84.8,8.3,Good,1,High School,Average,76.9,Medium-High,2,2
24,Female,1.9,1.7,2.8,No,96.2,4.9,Fair,1,Bachelor,Poor,43.9,Low,1,1
22,Male,3.0,2.5,2.6,No,83.1,5.5,Fair,0,Bachelor,Average,51.3,Low,3,3
23,Female,5.3,1.2,0.8,No,92.3,8.2,Fair,2,High School,Average,83.3,High,2,2
20,Female,3.7,1.2,3.3,No,88.5,7.7,Poor,5,,Good,82.7,High,2,2
17,Male,7.0,3.3,3.1,No,88.4,6.1,Good,5,,Average,94.8,High,2,2
22,Male,4.1,1.1,1.9,No,82.3,7.5,Good,1,,Good,80.8,Medium-High,2,2
24,Female,3.8,3.3,1.9,No,72.8,6.9,Poor,3,Bachelor,Good,58.3,Low,1,1
21,Female,3.0,3.1,2.4,Yes,73.8,8.3,Fair,4,High School,Average,66.3,Medium-Low,0,0
24,Male,3.7,0.4,0.9,No,92.1,6.6,Fair,6,Bachelor,Average,87.9,High,2,2
21,Male,3.3,1.7,1.8,No,85.2,7.7,Poor,0,High School,Good,60.5,Medium-Low,3,3
18,Male,4.6,3.9,0.0,No,83.6,9.7,Poor,3,High School,Good,84.8,High,2,2
23,Female,4.9,1.3,2.8,No,80.8,7.2,Good,1,Bachelor,Average,77.0,Medium-High,2,2
21,Female,2.3,1.9,0.1,No,81.9,6.6,Fair,2,Bachelor,Average,61.7,Medium-Low,3,3
24,Male,1.5,3.1,3.5,No,95.5,7.4,Fair,0,High School,Average,44.0,Low,3,3
18,Male,0.7,3.4,1.4,Yes,81.6,6.1,Poor,1,High School,Poor,42.4,Low,0,0
17,Female,4.3,2.2,1.6,No,71.6,9.4,Good,5,Bachelor,Good,88.0,High,2,2
20,Male,1.8,1.8,1.1,No,92.4,6.7,Good,0,High School,Good,48.7,Low,3,3
20,Male,0.3,4.2,1.5,No,83.0,6.2,Good,1,High School,Average,26.8,Low,1,1
20,Female,4.1,4.6,3.4,No,85.3,5.5,Poor,5,Bachelor,Good,81.6,High,3,3
21,Female,7.2,3.7,0.0,No,100.0,7.8,Good,6,High School,Good,100.0,High,2,2
17,Female,3.5,2.6,3.2,Yes,84.8,7.5,Fair,5,Bachelor,Average,74.0,Medium-High,0,0
21,Female,4.8,1.5,2.2,No,87.9,5.9,Fair,4,Bachelor,Poor,78.4,Medium-High,1,1
23,Male,3.6,1.5,0.5,No,73.2,7.2,Fair,2,Bachelor,Good,70.7,Medium-High,3,3
21,Male,3.4,3.1,0.6,No,82.8,4.7,Fair,4,Bachelor,Good,74.3,Medium-High,3,3
17,Female,4.9,3.0,3.6,No,91.1,6.7,Good,1,Bachelor,Good,67.6,Medium-Low,3,3
17,Male,3.1,4.2,0.8,No,69.4,7.0,Good,6,Bachelor,Poor,64.7,Medium-Low,3,3
23,Male,3.9,3.3,0.5,No,87.0,8.5,Fair,3,Master,Average,64.1,Medium-Low,3,3
17,Male,4.0,0.7,3.1,No,86.0,5.6,Good,6,High School,Poor,83.5,High,2,2
24,Male,2.5,3.8,2.2,No,85.4,5.0,Good,6,High School,Good,63.4,Medium-Low,3,3
17,Male,5.0,1.3,0.8,No,95.4,5.4,Good,6,Bachelor,Good,96.2,High,2,2
20,Male,3.2,2.0,2.0,No,88.3,4.9,Fair,4,Bachelor,Poor,65.4,Medium-Low,1,1
24,Male,2.4,2.8,0.7,No,99.8,8.1,Fair,3,,Good,62.0,Medium-Low,3,3
24,Male,4.3,4.9,3.0,No,75.1,8.4,Fair,5,Master,Good,74.0,Medium-High,1,1
23,Female,2.2,6.2,3.0,No,86.4,6.9,Good,1,,Good,46.7,Low,3,3
19,Female,3.5,3.2,2.4,No,85.8,8.0,Poor,2,Bachelor,Good,75.5,Medium-High,3,3
19,Female,3.5,2.3,2.2,No,74.3,6.7,Fair,3,Bachelor,Poor,78.1,Medium-High,1,1
17,Female,5.1,3.1,3.7,No,94.6,6.4,Fair,1,Master,Good,85.2,High,2,2
24,Female,4.2,3.6,1.8,Yes,100.0,6.1,Fair,3,,Poor,75.4,Medium-High,0,0
19,Male,3.5,2.1,0.5,Yes,84.8,6.1,Good,4,Bachelor,Average,64.2,Medium-Low,0,0
19,Female,4.7,4.7,2.3,No,90.1,4.6,Good,1,High School,Good,69.7,Medium-Low,3,3
17,Female,5.6,2.8,4.1,No,85.8,6.8,Good,4,High School,Good,90.3,High,2,2
19,Female,4.3,3.1,0.7,No,77.9,6.5,Good,0,,Average,81.4,High,2,2
21,Male,3.5,3.3,1.4,No,66.8,7.4,Fair,1,Bachelor,Good,65.0,Medium-Low,3,3
18,Male,1.5,3.0,2.3,No,77.9,6.6,Fair,3,High School,Good,57.3,Low,3,3
23,Male,1.9,3.5,1.7,Yes,71.1,6.3,Fair,0,High School,Good,57.7,Low,0,0
18,Male,3.0,1.8,0.7,No,100.0,5.5,Poor,4,Bachelor,Poor,56.7,Low,3,3
17,Female,2.6,1.8,3.0,No,83.8,6.6,Fair,4,Bachelor,Good,62.3,Medium-Low,1,1
20,Female,3.2,1.2,4.4,No,81.5,7.4,Good,3,Bachelor,Average,77.9,Medium-High,2,2
23,Male,3.6,3.0,2.0,No,93.9,5.1,Fair,0,Master,Average,65.2,Medium-Low,3,3
17,Other,4.3,3.4,0.8,No,73.8,6.6,Good,6,High School,Average,76.8,Medium-High,2,2
24,Female,3.4,3.0,0.1,No,77.3,6.8,Fair,5,Master,Average,83.8,High,2,2
20,Male,4.2,4.5,2.1,No,85.7,5.6,Poor,2,Master,Good,70.6,Medium-High,3,3
18,Male,3.6,2.5,3.0,No,95.3,5.8,Poor,3,High School,Average,63.1,Medium-Low,1,1
17,Male,0.5,3.3,2.3,No,90.0,6.8,Fair,4,High School,Good,39.0,Low,3,3
24,Male,2.1,1.2,1.8,No,87.5,5.1,Fair,1,High School,Average,66.7,Medium-Low,3,3
23,Male,3.3,2.0,1.2,Yes,85.8,6.9,Poor,0,High School,Good,72.2,Medium-High,0,0
23,Male,1.7,3.3,0.6,No,89.0,5.4,Fair,5,Bachelor,Good,50.1,Low,1,1
22,Male,4.4,3.5,2.7,Yes,87.0,7.8,Fair,2,Bachelor,Good,62.4,Medium-Low,0,0
24,Male,5.8,2.1,2.8,No,74.7,9.3,Fair,1,Bachelor,Good,96.6,High,2,2
21,Female,5.3,2.4,0.1,No,85.5,5.5,Good,0,Bachelor,Good,85.8,High,1,1
19,Male,3.2,0.7,3.5,No,74.3,7.1,Good,5,High School,Good,68.3,Medium-Low,3,3
20,Female,5.7,2.1,2.4,No,85.8,5.6,Fair,3,Master,Good,83.8,High,2,2
24,Male,3.7,3.6,3.3,Yes,80.2,7.7,Good,5,High School,Poor,69.3,Medium-Low,0,0
22,Other,3.0,3.2,0.3,No,100.0,5.0,Good,3,Master,Good,65.3,Medium-Low,3,3
19,Male,2.6,3.1,0.3,No,84.6,7.1,Good,6,High School,Average,77.5,Medium-High,1,1
19,Male,3.0,2.6,1.6,No,71.0,5.5,Fair,0,Master,Average,55.0,Low,1,1
17,Other,2.9,2.5,2.4,Yes,83.7,6.3,Poor,5,,Good,65.2,Medium-Low,0,0
19,Female,3.8,1.7,3.8,No,90.2,5.3,Good,2,High School,Average,58.1,Low,3,3
21,Female,3.7,3.3,2.6,Yes,100.0,7.5,Fair,5,,Good,69.2,Medium-Low,0,0
23,Male,3.5,3.0,1.5,Yes,79.1,5.5,Good,0,Bachelor,Average,67.4,Medium-Low,0,0
22,Male,4.2,3.1,0.7,No,69.2,7.2,Good,1,Master,Poor,79.9,Medium-High,3,3
19,Female,5.3,1.9,3.2,No,93.2,6.1,Fair,1,High School,Average,85.7,High,2,2
17,Female,4.9,0.0,0.7,No,71.2,6.4,Fair,5,Master,Poor,96.2,High,2,2
21,Female,1.3,3.8,3.6,Yes,80.6,6.7,Fair,5,Bachelor,Good,40.4,Low,0,0
18,Female,0.0,1.9,1.5,No,82.4,5.6,Fair,3,Bachelor,Average,55.2,Low,3,3
23,Male,4.9,1.5,3.5,No,84.3,6.8,Fair,0,Bachelor,Average,73.8,Medium-High,2,2
23,Female,1.4,3.3,2.5,No,91.9,8.3,Fair,3,High School,Poor,46.5,Low,1,1
22,Male,3.2,2.0,1.6,No,78.2,5.6,Fair,2,High School,Average,60.5,Medium-Low,1,1
23,Male,1.7,3.8,1.2,No,82.3,7.9,Poor,6,Master,Good,55.4,Low,3,3
19,Male,0.8,3.2,1.4,No,84.9,8.3,Good,1,Master,Average,45.1,Low,3,3
17,Female,4.3,3.3,2.3,No,86.5,5.5,Poor,4,Master,Good,69.4,Medium-Low,3,3
23,Male,4.6,0.9,1.9,No,86.0,4.8,Good,4,Master,Good,81.3,Medium-High,2,2
23,Male,2.6,4.0,1.1,No,89.4,6.9,Good,0,High School,Good,66.6,Medium-Low,3,3
18,Female,0.0,2.8,1.6,No,93.4,5.8,Fair,0,Bachelor,Good,26.7,Low,3,3
18,Male,2.7,2.1,1.9,No,88.9,8.7,Good,4,High School,Poor,64.5,Medium-Low,3,3
20,Female,4.1,2.7,0.0,No,89.5,6.5,Fair,0,Master,Average,87.1,High,1,1
21,Male,1.3,0.4,2.3,Yes,69.2,5.5,Good,1,High School,Good,42.2,Low,0,0
19,Female,3.8,3.0,0.7,No,85.5,5.1,Fair,2,Bachelor,Good,61.6,Medium-Low,3,3
23,Female,3.5,1.3,0.5,No,89.8,7.8,Fair,2,Bachelor,Good,81.9,High,2,2
24,Male,4.4,0.9,0.0,No,92.3,5.8,Fair,3,High School,Good,96.5,High,2,2
23,Male,3.7,0.7,0.0,No,78.1,6.6,Fair,1,,Average,85.1,High,2,2
17,Male,2.0,3.8,0.3,No,78.4,7.6,Fair,6,Master,Poor,58.5,Medium-Low,3,3
20,Male,5.3,1.7,1.0,No,79.3,5.9,Fair,0,Bachelor,Good,78.4,Medium-High,1,1
21,Other,3.3,4.3,3.9,No,90.4,6.4,Fair,0,High School,Good,56.4,Low,3,3
24,Male,3.5,1.9,1.2,No,95.3,6.5,Poor,6,Bachelor,Average,92.6,High,1,1
20,Female,2.1,0.5,2.0,No,80.9,7.3,Poor,3,Bachelor,Good,62.3,Medium-Low,1,1
22,Male,2.8,1.2,2.2,Yes,94.1,7.2,Fair,3,High School,Average,75.8,Medium-High,0,0
21,Female,2.2,4.0,1.9,No,86.2,6.2,Poor,0,High School,Average,47.1,Low,1,1
23,Female,3.2,2.3,1.7,Yes,83.8,6.6,Poor,0,Master,Good,66.3,Medium-Low,0,0
23,Female,6.1,1.8,0.5,No,82.9,6.1,Good,6,Bachelor,Good,98.3,High,2,2
21,Male,1.4,2.7,3.4,No,92.5,4.7,Poor,1,Bachelor,Average,29.7,Low,1,1
23,Male,1.1,3.1,3.8,No,88.3,6.8,Good,6,Bachelor,Poor,45.5,Low,3,3
19,Male,5.7,3.8,0.0,No,100.0,8.8,Fair,3,,Average,100.0,High,2,2
21,Female,3.2,4.2,0.7,No,76.5,5.4,Good,6,High School,Good,67.5,Medium-Low,1,1
20,Female,2.5,2.1,1.5,No,90.2,5.6,Fair,6,High School,Average,60.3,Medium-Low,1,1
21,Other,5.1,0.9,0.7,No,79.7,5.5,Fair,6,High School,Good,87.0,High,2,2
24,Male,2.6,2.0,2.4,No,76.3,7.4,Fair,1,Bachelor,Good,48.5,Low,3,3
23,Female,6.2,2.8,1.0,No,84.9,7.0,Fair,5,Master,Good,100.0,High,2,2
19,Female,4.5,1.3,4.2,No,86.4,6.3,Fair,0,High School,Average,82.1,High,2,2
19,Male,2.8,1.4,3.1,No,100.0,5.4,Poor,4,High School,Good,63.7,Medium-Low,1,1
22,Male,6.7,2.9,2.0,No,83.2,6.6,Good,6,Bachelor,Average,100.0,High,2,2
20,Female,2.6,2.4,2.9,No,73.7,4.6,Fair,4,Master,Average,41.9,Low,3,3
18,Female,4.6,2.5,3.0,No,87.7,6.7,Fair,5,Bachelor,Poor,72.7,Medium-High,2,2
18,Female,3.9,1.6,1.2,No,64.3,7.5,Good,0,Master,Average,74.3,Medium-High,1,1
21,Male,5.5,2.2,0.9,Yes,84.1,5.0,Fair,3,Bachelor,Good,88.7,High,0,0
22,Female,5.8,1.4,1.9,No,85.2,4.7,Good,4,Bachelor,Average,96.6,High,2,2
17,Male,3.5,3.6,2.7,No,92.9,8.4,Fair,3,High School,Average,72.6,Medium-High,1,1
21,Male,2.4,3.7,2.0,No,94.7,5.8,Good,4,High School,Good,52.4,Low,1,1
22,Male,4.2,0.3,0.1,No,80.0,7.9,Poor,3,High School,Poor,100.0,High,1,1
20,Female,2.5,1.4,0.9,No,83.5,6.3,Good,6,Bachelor,Good,73.1,Medium-High,3,3
20,Female,6.5,0.7,1.7,No,77.3,6.3,Good,4,Master,Average,100.0,High,2,2
20,Female,3.7,1.7,1.7,No,73.7,7.0,Fair,3,Master,Poor,80.8,Medium-High,1,1
20,Male,3.0,2.4,4.0,No,88.1,5.4,Poor,5,High School,Good,62.9,Medium-Low,3,3
20,Female,3.8,0.8,0.3,No,72.3,6.7,Fair,1,High School,Poor,71.5,Medium-High,3,3
22,Male,1.5,1.4,2.4,No,80.9,6.0,Good,3,High School,Good,46.2,Low,3,3
22,Female,2.0,1.3,3.4,Yes,75.0,4.9,Fair,1,High School,Average,53.8,Low,0,0
19,Male,5.3,2.7,4.3,No,90.5,6.9,Fair,1,Bachelor,Poor,74.2,Medium-High,1,1
24,Male,2.5,2.6,1.4,No,100.0,6.2,Poor,0,Master,Poor,52.5,Low,3,3
18,Male,1.9,1.6,2.3,No,72.0,6.3,Fair,6,Master,Poor,51.2,Low,3,3
23,Male,4.3,2.7,2.4,Yes,66.5,5.0,Fair,5,Bachelor,Poor,60.6,Medium-Low,0,0
20,Female,5.3,1.8,2.0,No,83.8,8.4,Good,1,Bachelor,Good,91.5,High,2,2
17,Female,4.6,2.2,1.7,No,85.2,7.6,Fair,2,Bachelor,Average,87.3,High,2,2
23,Male,5.0,4.5,2.3,No,87.2,7.7,Good,6,High School,Average,98.0,High,2,2
22,Female,2.4,4.1,0.0,No,80.5,6.1,Fair,1,Bachelor,Average,47.9,Low,1,1
17,Male,1.4,0.9,2.6,Yes,83.0,4.4,Poor,3,Bachelor,Good,51.0,Low,0,0
17,Female,5.8,3.5,1.9,No,88.7,8.8,Fair,1,Bachelor,Good,90.0,High,2,2
17,Female,3.0,3.5,1.6,No,95.4,6.4,Fair,3,High School,Good,54.1,Low,3,3
19,Female,3.1,1.1,4.1,No,65.4,5.6,Good,3,High School,Good,58.4,Low,1,1
22,Male,5.5,3.5,1.1,Yes,81.3,7.0,Good,2,High School,Average,100.0,High,0,0
17,Female,4.3,4.3,1.4,No,87.1,7.9,Fair,1,Master,Average,65.2,Medium-Low,3,3
20,Female,4.2,1.2,4.0,No,75.8,6.5,Fair,1,High School,Good,85.3,High,2,2
21,Male,6.7,1.4,0.9,No,100.0,8.0,Fair,4,Bachelor,Good,93.8,High,2,2
17,Male,2.5,3.7,1.2,Yes,78.6,7.8,Good,6,Bachelor,Average,78.8,Medium-High,0,0
19,Female,4.9,2.8,1.6,No,84.6,5.2,Good,4,High School,Average,85.0,High,2,2
23,Female,3.6,3.2,2.7,No,90.6,5.7,Good,0,Bachelor,Good,64.5,Medium-Low,3,3
22,Female,3.9,2.9,2.0,No,79.1,7.6,Fair,3,Master,Good,71.0,Medium-High,3,3
24,Female,5.8,3.0,0.4,No,66.5,3.2,Fair,2,High School,Average,90.8,High,2,2
19,Female,4.3,0.9,1.2,No,80.7,6.3,Fair,4,Master,Good,72.6,Medium-High,2,2
17,Male,4.3,3.8,1.1,No,95.3,4.8,Fair,1,High School,Average,70.9,Medium-High,3,3
22,Male,5.1,3.9,1.7,Yes,81.6,5.9,Fair,0,,Poor,65.1,Medium-Low,0,0
