study_hours_per_day,exercise_frequency,sleep_hours,attendance_percentage,extracurricular_participation_encoded,exam_score,exam_score_quantile
2.3,1,6.2,69.0,1,47.2,Q1_Low
3.9,6,6.1,100.0,0,73.4,Q3_Medium_High
1.2,4,6.6,72.7,1,41.1,Q1_Low
4.0,6,7.8,74.7,0,77.8,Q3_Medium_High
4.8,5,4.7,80.6,0,63.4,Q2_Medium_Low
0.5,4,4.1,97.9,0,43.9,Q1_Low
4.1,4,5.8,85.1,0,70.2,Q2_Medium_Low
5.3,0,4.5,72.6,0,81.3,Q3_Medium_High
1.7,0,6.0,97.5,0,50.2,Q1_Low
6.0,0,7.1,92.3,0,87.9,Q4_High
4.1,5,5.4,90.4,0,80.9,Q3_Medium_High
2.4,3,4.8,92.2,1,63.9,Q2_Medium_Low
3.4,1,6.6,100.0,0,65.6,Q2_Medium_Low
4.3,5,7.5,100.0,1,93.2,Q4_High
3.6,6,4.5,78.1,0,74.0,Q3_Medium_High
4.3,0,7.5,100.0,0,60.8,Q2_Medium_Low
2.1,4,7.5,88.8,0,50.4,Q1_Low
3.8,5,7.6,90.0,0,74.3,Q3_Medium_High
1.4,4,8.0,68.1,1,32.8,Q1_Low
3.3,6,9.1,83.3,1,82.3,Q4_High
2.1,4,6.1,76.9,0,60.4,Q2_Medium_Low
2.4,4,6.6,93.3,1,60.0,Q2_Medium_Low
5.4,2,6.0,95.7,0,77.5,Q3_Medium_High
5.1,3,6.5,64.3,1,86.5,Q4_High
4.4,1,8.3,84.8,0,76.9,Q3_Medium_High
1.9,1,4.9,96.2,1,43.9,Q1_Low
3.0,0,5.5,83.1,0,51.3,Q1_Low
5.3,2,8.2,92.3,0,83.3,Q4_High
3.7,5,7.7,88.5,0,82.7,Q4_High
7.0,5,6.1,88.4,1,94.8,Q4_High
4.1,1,7.5,82.3,0,80.8,Q3_Medium_High
3.8,3,6.9,72.8,1,58.3,Q1_Low
3.0,4,8.3,73.8,0,66.3,Q2_Medium_Low
3.7,6,6.6,92.1,0,87.9,Q4_High
3.3,0,7.7,85.2,0,60.5,Q2_Medium_Low
4.6,3,9.7,83.6,0,84.8,Q4_High
4.9,1,7.2,80.8,0,77.0,Q3_Medium_High
2.3,2,6.6,81.9,0,61.7,Q2_Medium_Low
1.5,0,7.4,95.5,0,44.0,Q1_Low
0.7,1,6.1,81.6,0,42.4,Q1_Low
4.3,5,9.4,71.6,0,88.0,Q4_High
1.8,0,6.7,92.4,0,48.7,Q1_Low
0.3,1,6.2,83.0,1,26.8,Q1_Low
4.1,5,5.5,85.3,0,81.6,Q4_High
7.2,6,7.8,100.0,0,100.0,Q4_High
3.5,5,7.5,84.8,1,74.0,Q3_Medium_High
4.8,4,5.9,87.9,1,78.4,Q3_Medium_High
3.6,2,7.2,73.2,0,70.7,Q3_Medium_High
3.4,4,4.7,82.8,0,74.3,Q3_Medium_High
4.9,1,6.7,91.1,0,67.6,Q2_Medium_Low
3.1,6,7.0,69.4,0,64.7,Q2_Medium_Low
3.9,3,8.5,87.0,0,64.1,Q2_Medium_Low
4.0,6,5.6,86.0,0,83.5,Q4_High
2.5,6,5.0,85.4,0,63.4,Q2_Medium_Low
5.0,6,5.4,95.4,0,96.2,Q4_High
3.2,4,4.9,88.3,1,65.4,Q2_Medium_Low
2.4,3,8.1,99.8,0,62.0,Q2_Medium_Low
4.3,5,8.4,75.1,1,74.0,Q3_Medium_High
2.2,1,6.9,86.4,0,46.7,Q1_Low
3.5,2,8.0,85.8,0,75.5,Q3_Medium_High
3.5,3,6.7,74.3,1,78.1,Q3_Medium_High
5.1,1,6.4,94.6,0,85.2,Q4_High
4.2,3,6.1,100.0,0,75.4,Q3_Medium_High
3.5,4,6.1,84.8,0,64.2,Q2_Medium_Low
4.7,1,4.6,90.1,0,69.7,Q2_Medium_Low
5.6,4,6.8,85.8,0,90.3,Q4_High
4.3,0,6.5,77.9,0,81.4,Q4_High
3.5,1,7.4,66.8,0,65.0,Q2_Medium_Low
1.5,3,6.6,77.9,0,57.3,Q1_Low
1.9,0,6.3,71.1,0,57.7,Q1_Low
3.0,4,5.5,100.0,0,56.7,Q1_Low
2.6,4,6.6,83.8,1,62.3,Q2_Medium_Low
3.2,3,7.4,81.5,0,77.9,Q3_Medium_High
3.6,0,5.1,93.9,0,65.2,Q2_Medium_Low
4.3,6,6.6,73.8,0,76.8,Q3_Medium_High
3.4,5,6.8,77.3,0,83.8,Q4_High
4.2,2,5.6,85.7,0,70.6,Q3_Medium_High
3.6,3,5.8,95.3,1,63.1,Q2_Medium_Low
0.5,4,6.8,90.0,0,39.0,Q1_Low
2.1,1,5.1,87.5,0,66.7,Q2_Medium_Low
3.3,0,6.9,85.8,0,72.2,Q3_Medium_High
1.7,5,5.4,89.0,1,50.1,Q1_Low
4.4,2,7.8,87.0,0,62.4,Q2_Medium_Low
5.8,1,9.3,74.7,0,96.6,Q4_High
5.3,0,5.5,85.5,1,85.8,Q4_High
3.2,5,7.1,74.3,0,68.3,Q2_Medium_Low
5.7,3,5.6,85.8,1,83.8,Q4_High
3.7,5,7.7,80.2,0,69.3,Q2_Medium_Low
3.0,3,5.0,100.0,0,65.3,Q2_Medium_Low
2.6,6,7.1,84.6,1,77.5,Q3_Medium_High
3.0,0,5.5,71.0,1,55.0,Q1_Low
2.9,5,6.3,83.7,0,65.2,Q2_Medium_Low
3.8,2,5.3,90.2,0,58.1,Q1_Low
3.7,5,7.5,100.0,0,69.2,Q2_Medium_Low
3.5,0,5.5,79.1,0,67.4,Q2_Medium_Low
4.2,1,7.2,69.2,0,79.9,Q3_Medium_High
5.3,1,6.1,93.2,1,85.7,Q4_High
4.9,5,6.4,71.2,0,96.2,Q4_High
1.3,5,6.7,80.6,0,40.4,Q1_Low
0.0,3,5.6,82.4,0,55.2,Q1_Low
4.9,0,6.8,84.3,0,73.8,Q3_Medium_High
1.4,3,8.3,91.9,1,46.5,Q1_Low
3.2,2,5.6,78.2,1,60.5,Q2_Medium_Low
1.7,6,7.9,82.3,0,55.4,Q1_Low
0.8,1,8.3,84.9,0,45.1,Q1_Low
4.3,4,5.5,86.5,0,69.4,Q2_Medium_Low
4.6,4,4.8,86.0,0,81.3,Q3_Medium_High
2.6,0,6.9,89.4,0,66.6,Q2_Medium_Low
0.0,0,5.8,93.4,0,26.7,Q1_Low
2.7,4,8.7,88.9,0,64.5,Q2_Medium_Low
4.1,0,6.5,89.5,1,87.1,Q4_High
1.3,1,5.5,69.2,1,42.2,Q1_Low
3.8,2,5.1,85.5,0,61.6,Q2_Medium_Low
3.5,2,7.8,89.8,0,81.9,Q4_High
4.4,3,5.8,92.3,0,96.5,Q4_High
3.7,1,6.6,78.1,0,85.1,Q4_High
2.0,6,7.6,78.4,0,58.5,Q2_Medium_Low
5.3,0,5.9,79.3,1,78.4,Q3_Medium_High
3.3,0,6.4,90.4,0,56.4,Q1_Low
3.5,6,6.5,95.3,1,92.6,Q4_High
2.1,3,7.3,80.9,1,62.3,Q2_Medium_Low
2.8,3,7.2,94.1,0,75.8,Q3_Medium_High
2.2,0,6.2,86.2,1,47.1,Q1_Low
3.2,0,6.6,83.8,0,66.3,Q2_Medium_Low
6.1,6,6.1,82.9,1,98.3,Q4_High
1.4,1,4.7,92.5,1,29.7,Q1_Low
1.1,6,6.8,88.3,0,45.5,Q1_Low
5.7,3,8.8,100.0,0,100.0,Q4_High
3.2,6,5.4,76.5,1,67.5,Q2_Medium_Low
2.5,6,5.6,90.2,1,60.3,Q2_Medium_Low
5.1,6,5.5,79.7,0,87.0,Q4_High
2.6,1,7.4,76.3,0,48.5,Q1_Low
6.2,5,7.0,84.9,0,100.0,Q4_High
4.5,0,6.3,86.4,0,82.1,Q4_High
2.8,4,5.4,100.0,1,63.7,Q2_Medium_Low
6.7,6,6.6,83.2,0,100.0,Q4_High
2.6,4,4.6,73.7,0,41.9,Q1_Low
4.6,5,6.7,87.7,0,72.7,Q3_Medium_High
3.9,0,7.5,64.3,1,74.3,Q3_Medium_High
5.5,3,5.0,84.1,0,88.7,Q4_High
5.8,4,4.7,85.2,1,96.6,Q4_High
3.5,3,8.4,92.9,1,72.6,Q3_Medium_High
2.4,4,5.8,94.7,1,52.4,Q1_Low
4.2,3,7.9,80.0,1,100.0,Q4_High
2.5,6,6.3,83.5,0,73.1,Q3_Medium_High
6.5,4,6.3,77.3,0,100.0,Q4_High
3.7,3,7.0,73.7,1,80.8,Q3_Medium_High
3.0,5,5.4,88.1,0,62.9,Q2_Medium_Low
3.8,1,6.7,72.3,0,71.5,Q3_Medium_High
1.5,3,6.0,80.9,0,46.2,Q1_Low
2.0,1,4.9,75.0,0,53.8,Q1_Low
5.3,1,6.9,90.5,1,74.2,Q3_Medium_High
2.5,0,6.2,100.0,0,52.5,Q1_Low
1.9,6,6.3,72.0,0,51.2,Q1_Low
4.3,5,5.0,66.5,0,60.6,Q2_Medium_Low
5.3,1,8.4,83.8,0,91.5,Q4_High
4.6,2,7.6,85.2,0,87.3,Q4_High
5.0,6,7.7,87.2,0,98.0,Q4_High
2.4,1,6.1,80.5,1,47.9,Q1_Low
1.4,3,4.4,83.0,0,51.0,Q1_Low
5.8,1,8.8,88.7,1,90.0,Q4_High
3.0,3,6.4,95.4,0,54.1,Q1_Low
3.1,3,5.6,65.4,1,58.4,Q1_Low
5.5,2,7.0,81.3,0,100.0,Q4_High
4.3,1,7.9,87.1,0,65.2,Q2_Medium_Low
4.2,1,6.5,75.8,0,85.3,Q4_High
6.7,4,8.0,100.0,0,93.8,Q4_High
2.5,6,7.8,78.6,0,78.8,Q3_Medium_High
4.9,4,5.2,84.6,0,85.0,Q4_High
3.6,0,5.7,90.6,0,64.5,Q2_Medium_Low
3.9,3,7.6,79.1,0,71.0,Q3_Medium_High
5.8,2,3.2,66.5,0,90.8,Q4_High
4.3,4,6.3,80.7,0,72.6,Q3_Medium_High
4.3,1,4.8,95.3,0,70.9,Q3_Medium_High
5.1,0,5.9,81.6,1,65.1,Q2_Medium_Low
3.0,2,6.1,76.5,0,49.1,Q1_Low
2.2,5,6.1,94.3,0,62.7,Q2_Medium_Low
1.9,1,5.8,81.7,0,51.5,Q1_Low
0.6,1,5.2,79.9,0,18.4,Q1_Low
6.6,5,9.3,86.5,1,100.0,Q4_High
1.8,3,8.7,92.7,0,53.3,Q1_Low
3.2,3,5.1,100.0,0,76.1,Q3_Medium_High
3.1,4,8.4,93.3,0,85.6,Q4_High
4.0,4,6.0,96.6,1,63.0,Q2_Medium_Low
4.7,1,6.7,79.9,0,73.6,Q3_Medium_High
4.8,6,6.4,74.7,0,76.2,Q3_Medium_High
2.6,1,5.7,85.6,1,45.5,Q1_Low
3.2,4,7.7,86.1,1,58.6,Q2_Medium_Low
3.9,5,6.7,74.2,0,77.8,Q3_Medium_High
3.1,4,5.9,83.2,1,61.5,Q2_Medium_Low
5.9,1,4.9,89.0,0,71.4,Q3_Medium_High
4.2,2,5.4,88.6,1,93.9,Q4_High
4.6,1,4.5,90.0,0,85.9,Q4_High
4.5,2,6.5,87.9,0,73.8,Q3_Medium_High
5.3,2,5.1,79.9,0,83.3,Q4_High
3.8,1,6.2,79.9,0,79.7,Q3_Medium_High
1.6,6,8.1,73.0,0,47.1,Q1_Low
4.1,6,7.9,100.0,0,91.9,Q4_High
2.5,0,6.5,85.1,1,60.6,Q2_Medium_Low
2.7,4,6.4,82.8,0,46.6,Q1_Low
4.4,6,8.8,75.7,1,84.2,Q4_High
5.4,3,7.1,100.0,0,95.5,Q4_High
3.5,1,6.1,74.3,1,73.5,Q3_Medium_High
4.0,2,4.8,80.7,0,75.9,Q3_Medium_High
6.1,1,7.0,89.2,0,100.0,Q4_High
3.9,4,7.5,91.0,1,74.2,Q3_Medium_High
7.4,5,5.7,94.6,1,100.0,Q4_High
4.3,6,6.8,100.0,0,94.9,Q4_High
0.9,6,6.1,90.1,0,27.6,Q1_Low
4.6,6,6.3,74.4,0,86.2,Q4_High
4.1,2,3.5,82.4,0,60.1,Q2_Medium_Low
5.4,3,6.2,88.1,1,91.3,Q4_High
4.5,3,7.7,100.0,0,93.8,Q4_High
3.3,6,5.7,71.0,1,61.6,Q2_Medium_Low
1.7,3,6.6,97.0,0,41.7,Q1_Low
3.2,5,5.6,86.8,0,74.5,Q3_Medium_High
2.2,6,6.9,93.4,0,63.7,Q2_Medium_Low
2.6,0,6.2,84.0,0,39.6,Q1_Low
4.4,2,5.4,76.6,1,87.5,Q4_High
6.0,5,8.1,92.5,0,100.0,Q4_High
4.1,2,7.6,91.5,0,75.4,Q3_Medium_High
1.7,6,5.8,94.7,1,61.5,Q2_Medium_Low
4.2,5,7.1,84.9,1,73.3,Q3_Medium_High
5.3,6,7.1,79.0,0,96.3,Q4_High
2.6,5,7.3,69.4,0,67.0,Q2_Medium_Low
3.3,6,4.5,93.2,0,70.1,Q2_Medium_Low
3.5,0,7.7,89.2,0,84.2,Q4_High
2.3,2,5.8,75.3,1,48.9,Q1_Low
4.5,5,6.1,79.6,0,98.8,Q4_High
3.3,0,9.7,80.3,0,76.1,Q3_Medium_High
4.1,1,6.9,70.2,1,80.4,Q3_Medium_High
2.2,6,6.0,76.8,0,64.1,Q2_Medium_Low
2.8,4,3.9,73.7,1,59.4,Q2_Medium_Low
4.6,5,8.2,80.9,1,94.2,Q4_High
2.9,3,4.9,77.6,1,67.8,Q2_Medium_Low
6.1,0,5.3,68.7,0,96.1,Q4_High
2.9,0,6.1,100.0,0,70.2,Q2_Medium_Low
3.8,5,8.2,97.5,0,84.2,Q4_High
4.9,0,7.4,77.2,0,75.4,Q3_Medium_High
1.4,1,6.3,87.7,0,41.7,Q1_Low
0.9,0,6.9,89.2,0,23.1,Q1_Low
1.2,4,5.8,96.9,0,50.3,Q1_Low
5.4,4,6.7,76.8,0,100.0,Q4_High
2.7,6,6.6,95.9,0,52.2,Q1_Low
7.3,6,7.7,79.5,1,100.0,Q4_High
2.7,3,7.7,71.6,0,71.2,Q3_Medium_High
3.8,1,7.1,92.2,0,72.3,Q3_Medium_High
5.8,4,6.1,97.9,0,100.0,Q4_High
6.5,5,7.4,100.0,1,100.0,Q4_High
6.6,2,6.4,73.0,1,100.0,Q4_High
5.3,2,5.2,92.0,0,93.1,Q4_High
5.0,2,6.0,80.9,1,67.7,Q2_Medium_Low
4.4,6,6.6,92.8,1,77.9,Q3_Medium_High
4.7,5,7.6,70.3,0,80.3,Q3_Medium_High
2.7,0,6.3,72.4,0,44.3,Q1_Low
2.3,5,5.0,77.2,0,54.7,Q1_Low
3.5,0,6.6,85.8,0,85.0,Q4_High
3.2,2,6.6,78.6,1,81.7,Q4_High
2.8,3,6.7,91.6,0,71.6,Q3_Medium_High
4.5,3,7.6,95.3,1,73.7,Q3_Medium_High
4.9,0,7.7,91.0,0,77.0,Q3_Medium_High
3.6,2,5.8,100.0,0,72.3,Q3_Medium_High
5.7,5,5.8,89.2,0,100.0,Q4_High
1.8,3,5.3,72.8,0,54.0,Q1_Low
3.2,0,7.3,98.6,0,70.4,Q2_Medium_Low
2.4,5,8.2,78.9,1,47.0,Q1_Low
0.7,2,6.1,94.1,0,48.7,Q1_Low
3.4,1,6.2,100.0,0,47.6,Q1_Low
3.3,2,8.3,89.6,0,81.1,Q3_Medium_High
5.8,6,7.1,70.0,0,100.0,Q4_High
4.4,2,7.0,75.8,0,81.9,Q4_High
2.0,5,5.1,98.2,0,56.3,Q1_Low
6.3,5,7.3,83.3,1,100.0,Q4_High
5.3,4,5.4,85.8,0,81.0,Q3_Medium_High
4.4,4,5.1,92.6,1,84.9,Q4_High
3.2,5,6.1,92.0,0,67.9,Q2_Medium_Low
2.1,5,5.8,87.8,0,56.9,Q1_Low
2.9,1,6.2,82.9,0,45.9,Q1_Low
5.1,1,4.8,81.9,0,76.0,Q3_Medium_High
6.3,2,7.7,93.6,1,94.8,Q4_High
5.8,6,7.9,90.5,0,99.3,Q4_High
2.8,3,4.2,82.4,0,71.0,Q3_Medium_High
1.8,6,7.7,95.8,0,70.9,Q3_Medium_High
3.7,1,5.5,83.7,1,59.8,Q2_Medium_Low
0.8,2,7.5,76.5,0,36.0,Q1_Low
4.0,6,6.4,77.4,0,68.4,Q2_Medium_Low
3.3,0,6.5,75.2,1,72.9,Q3_Medium_High
2.8,4,6.3,82.3,0,57.3,Q1_Low
1.1,6,8.0,97.3,1,50.3,Q1_Low
4.3,3,5.0,76.9,0,65.7,Q2_Medium_Low
2.7,2,7.2,86.9,1,67.9,Q2_Medium_Low
1.7,6,7.8,78.4,0,63.6,Q2_Medium_Low
0.0,5,7.4,82.4,0,32.9,Q1_Low
3.5,0,9.3,69.9,0,67.7,Q2_Medium_Low
6.2,4,5.9,82.8,0,100.0,Q4_High
6.0,0,7.6,83.1,0,96.8,Q4_High
2.8,2,6.4,90.4,1,71.0,Q3_Medium_High
2.6,1,8.0,87.2,0,59.8,Q2_Medium_Low
4.2,4,6.5,73.0,0,64.2,Q2_Medium_Low
2.0,0,6.0,95.8,0,45.2,Q1_Low
4.0,1,8.1,87.1,1,82.9,Q4_High
4.6,3,5.9,87.0,1,73.2,Q3_Medium_High
5.3,2,4.8,84.9,0,79.6,Q3_Medium_High
3.3,2,5.9,79.8,0,73.0,Q3_Medium_High
3.2,4,7.2,87.2,0,72.6,Q3_Medium_High
2.2,0,8.2,89.8,0,45.2,Q1_Low
2.3,3,6.6,67.5,0,51.8,Q1_Low
3.2,5,8.1,79.6,0,92.0,Q4_High
4.1,4,4.9,82.5,0,77.8,Q3_Medium_High
4.9,5,6.0,87.6,0,97.2,Q4_High
2.3,4,6.2,96.9,1,71.9,Q3_Medium_High
5.7,0,6.4,77.3,1,69.1,Q2_Medium_Low
3.1,3,6.6,80.0,1,59.6,Q2_Medium_Low
3.5,0,7.3,79.9,0,60.4,Q2_Medium_Low
2.4,2,6.0,77.0,1,48.3,Q1_Low
0.0,5,6.7,81.5,1,50.1,Q1_Low
4.8,1,6.4,92.7,0,74.9,Q3_Medium_High
4.6,6,5.4,74.5,1,85.6,Q4_High
3.1,2,6.4,89.3,1,65.4,Q2_Medium_Low
3.6,2,6.3,68.0,1,82.4,Q4_High
4.3,5,6.3,79.4,1,67.3,Q2_Medium_Low
1.2,4,6.5,81.7,0,34.3,Q1_Low
2.7,2,6.6,100.0,0,53.0,Q1_Low
4.7,6,6.0,82.3,0,78.0,Q3_Medium_High
1.6,3,8.0,63.0,0,58.2,Q1_Low
3.9,2,5.1,65.0,0,73.7,Q3_Medium_High
1.5,3,5.6,85.3,0,60.3,Q2_Medium_Low
4.2,0,9.8,91.1,1,78.7,Q3_Medium_High
3.4,4,5.3,88.8,1,68.3,Q2_Medium_Low
1.1,3,4.9,86.7,0,49.9,Q1_Low
5.2,2,7.4,96.6,1,100.0,Q4_High
2.4,4,4.0,79.6,1,54.7,Q1_Low
2.3,6,6.2,93.9,0,58.7,Q2_Medium_Low
3.8,4,9.1,68.7,0,70.8,Q3_Medium_High
5.2,3,4.6,76.0,1,87.1,Q4_High
2.0,3,4.1,66.9,1,29.5,Q1_Low
3.6,1,4.7,82.3,0,53.2,Q1_Low
4.1,1,7.6,84.5,0,73.0,Q3_Medium_High
4.5,4,7.8,86.1,1,71.1,Q3_Medium_High
3.8,5,5.9,85.6,0,80.9,Q3_Medium_High
2.9,5,7.3,75.7,0,75.1,Q3_Medium_High
2.3,1,8.2,83.1,0,52.4,Q1_Low
3.6,2,8.6,70.0,0,67.6,Q2_Medium_Low
1.9,0,6.2,98.6,1,35.7,Q1_Low
0.0,4,3.7,82.0,0,29.9,Q1_Low
4.2,0,5.5,80.1,0,70.7,Q3_Medium_High
4.9,1,6.0,100.0,1,89.3,Q4_High
0.0,3,6.2,72.6,0,26.2,Q1_Low
2.0,6,6.3,73.7,1,58.3,Q1_Low
4.4,4,7.8,74.0,1,78.4,Q3_Medium_High
6.6,1,8.0,84.3,0,100.0,Q4_High
3.5,2,6.3,89.3,1,66.8,Q2_Medium_Low
2.4,6,7.8,92.4,0,63.8,Q2_Medium_Low
3.2,4,6.9,100.0,0,76.1,Q3_Medium_High
5.6,4,6.6,62.5,0,82.7,Q4_High
2.5,5,7.6,91.1,0,65.0,Q2_Medium_Low
2.3,3,6.6,79.4,0,66.8,Q2_Medium_Low
2.8,4,9.0,79.1,1,64.9,Q2_Medium_Low
2.1,3,4.8,78.8,0,63.1,Q2_Medium_Low
3.7,1,5.9,75.9,0,56.3,Q1_Low
5.9,2,6.3,100.0,1,93.6,Q4_High
4.0,6,7.0,93.4,1,91.9,Q4_High
3.1,6,8.0,85.2,1,74.0,Q3_Medium_High
3.1,2,6.5,98.5,0,62.7,Q2_Medium_Low
1.2,4,4.8,69.9,0,58.6,Q2_Medium_Low
4.8,4,7.5,71.7,0,89.3,Q4_High
3.4,1,7.4,63.2,0,63.4,Q2_Medium_Low
3.2,5,4.2,78.0,0,46.7,Q1_Low
8.3,5,6.5,86.6,0,100.0,Q4_High
3.9,5,4.6,86.0,0,68.7,Q2_Medium_Low
2.4,3,5.7,86.5,0,58.9,Q2_Medium_Low
2.9,5,5.4,70.9,0,59.0,Q2_Medium_Low
5.2,2,7.5,93.0,0,77.9,Q3_Medium_High
3.7,6,6.6,87.4,0,72.3,Q3_Medium_High
1.3,6,5.0,92.3,0,49.7,Q1_Low
4.9,3,7.6,66.1,0,80.9,Q3_Medium_High
2.5,1,4.8,88.1,0,44.5,Q1_Low
6.3,2,6.9,73.1,0,85.3,Q4_High
5.1,6,5.5,81.0,0,83.2,Q4_High
2.8,2,6.1,90.3,0,59.7,Q2_Medium_Low
5.4,6,7.1,85.9,0,98.1,Q4_High
3.6,0,7.1,76.5,1,66.8,Q2_Medium_Low
4.8,1,8.1,85.1,1,96.1,Q4_High
4.2,1,6.4,69.7,0,60.4,Q2_Medium_Low
2.2,0,6.9,96.5,0,33.8,Q1_Low
2.5,3,6.0,82.9,0,56.1,Q1_Low
5.0,6,6.7,96.2,0,80.6,Q3_Medium_High
3.0,6,7.0,79.7,0,52.6,Q1_Low
2.9,6,6.4,79.8,1,52.1,Q1_Low
2.1,5,4.3,77.4,1,39.9,Q1_Low
4.1,5,6.9,93.8,0,84.0,Q4_High
6.6,5,6.9,77.9,1,97.7,Q4_High
1.9,5,5.7,91.4,0,43.3,Q1_Low
3.5,5,5.0,81.2,0,55.9,Q1_Low
5.6,0,8.3,65.2,0,84.6,Q4_High
3.4,1,7.1,79.3,0,67.0,Q2_Medium_Low
4.2,3,6.2,73.2,0,76.0,Q3_Medium_High
1.9,2,5.1,85.3,1,56.9,Q1_Low
4.1,5,5.5,73.1,0,77.5,Q3_Medium_High
3.2,0,8.1,94.3,0,69.4,Q2_Medium_Low
